exp,micro,macro,Cardiomegaly,Edema,Consolidation,Atelectasis,Pleural Effusion
fastai-densenet-320-u0-stage-2,0.8353,0.8681,0.7966,0.9295,0.9001,0.7792,0.9234
fastai-densenet-320-u1-stage-1,0.8451,0.8746,0.801,0.9436,0.8592,0.8285,0.9299
fastai-resnet-320-u0-stage-1,0.8367,0.8743,0.801,0.9366,0.8573,0.8286,0.9369
fastai-resnet-320-u1-stage-2,0.8475,0.8771,0.812,0.9394,0.8577,0.8353,0.9307
fastai-resnext-320-u1-stage-1,0.843,0.8732,0.8012,0.9385,0.8651,0.8138,0.9365
fastai-vgg-320-u0-stage-2,0.8357,0.8656,0.8069,0.9127,0.8986,0.7657,0.9331
fastai-vgg-320-u1-stage-1,0.8355,0.8676,0.8095,0.9245,0.854,0.8121,0.926
fastai-densenet-CT-phase2-u1-stage-2,0.8468,0.8766,0.8038,0.9381,0.8655,0.8294,0.9341
weighted(micro) ensemble,0.8529,0.883,0.8073,0.9432,0.8863,0.8301,0.938
weighted(micro) ensemble,0.8493,0.8838,0.8142,0.939,0.8856,0.8317,0.937
ensemble,0.849,0.883,0.814,0.9391,0.8847,0.8301,0.9367
