exp,micro,macro,Cardiomegaly,Edema,Consolidation,Atelectasis,Pleural Effusion
fastai-densenet-320-u0-stage-2,0.8393,0.8713,0.8082,0.9251,0.9053,0.7827,0.9243
fastai-densenet-320-u1-stage-1,0.848,0.8775,0.8116,0.9394,0.861,0.8325,0.9327
fastai-resnet-320-u0-stage-1,0.841,0.8784,0.8142,0.9311,0.8625,0.8323,0.9403
fastai-resnet-320-u1-stage-2,0.8512,0.8812,0.8285,0.9352,0.8616,0.8362,0.9344
fastai-resnext-320-u1-stage-1,0.8459,0.8753,0.8125,0.9328,0.8674,0.8134,0.9395
fastai-vgg-320-u0-stage-2,0.8397,0.869,0.8194,0.9091,0.9036,0.767,0.9347
fastai-vgg-320-u1-stage-1,0.8392,0.8705,0.8201,0.9219,0.8579,0.8118,0.9298
fastai-densenet-CT-phase2-u1-stage-2,0.8499,0.8794,0.8154,0.9344,0.8681,0.8303,0.9369
weighted(micro) ensemble,0.8552,0.8851,0.8187,0.9382,0.8875,0.8315,0.9396
weighted(macro) ensemble,0.8519,0.886,0.826,0.9343,0.8867,0.8326,0.939
ensemble,0.8517,0.8852,0.8252,0.9344,0.8854,0.8313,0.9388
