exp,micro,macro,Cardiomegaly,Edema,Consolidation,Atelectasis,Pleural Effusion
fastai-densenet-320-u0-stage-2,0.8395,0.8698,0.8264,0.9042,0.9066,0.7824,0.9179
fastai-densenet-320-u1-stage-1,0.8472,0.8768,0.8267,0.9227,0.8605,0.8319,0.9313
fastai-resnet-320-u0-stage-1,0.8409,0.8779,0.8319,0.9144,0.8616,0.8316,0.9391
fastai-resnet-320-u1-stage-2,0.8509,0.8823,0.8448,0.9244,0.8637,0.8361,0.9323
fastai-resnext-320-u1-stage-1,0.8438,0.8736,0.8307,0.9137,0.8655,0.8122,0.9345
fastai-vgg-320-u0-stage-2,0.8403,0.8674,0.836,0.8923,0.9046,0.7651,0.9287
fastai-vgg-320-u1-stage-1,0.8395,0.8703,0.8358,0.9102,0.8599,0.8076,0.9277
fastai-densenet-CT-phase2-u1-stage-2,0.8491,0.8789,0.8312,0.9213,0.8685,0.8274,0.9349
weighted(micro) ensemble,0.8535,0.8837,0.8356,0.9222,0.8869,0.8292,0.9346
weighted(micro) ensemble,0.8508,0.8849,0.8409,0.9186,0.8862,0.8306,0.9364
ensemble,0.8507,0.8843,0.8407,0.9189,0.885,0.8292,0.9361
