exp,micro,macro,Cardiomegaly,Edema,Consolidation,Atelectasis,Pleural Effusion
fastai-densenet-320-u0-stage-2,0.8494,0.8753,0.8133,0.9159,0.912,0.7975,0.9271
fastai-densenet-320-u1-stage-1,0.8571,0.883,0.8178,0.9349,0.8785,0.8369,0.937
fastai-resnet-320-u0-stage-1,0.8491,0.8819,0.8165,0.9238,0.8783,0.8387,0.942
fastai-resnet-320-u1-stage-2,0.8589,0.8863,0.8273,0.933,0.8797,0.8461,0.9359
fastai-resnext-320-u1-stage-1,0.8527,0.8792,0.8141,0.9253,0.8821,0.8276,0.9365
fastai-vgg-320-u0-stage-2,0.8507,0.874,0.8189,0.9064,0.9138,0.7857,0.9352
fastai-densenet-CT-phase2-u1-stage-2,0.8564,0.8825,0.8143,0.9298,0.8835,0.8384,0.9364
fastai-densenet-320-u1-lsr-stage-2,0.8465,0.8757,0.8182,0.9179,0.888,0.8099,0.9343
weighted(micro) ensemble,0.8636,0.8875,0.8222,0.932,0.8988,0.8389,0.9368
weighted(macro) ensemble,0.8599,0.8896,0.8259,0.9283,0.9035,0.8387,0.9416
ensemble,0.8599,0.8896,0.8259,0.9283,0.9035,0.8387,0.9416
