exp,micro,macro,Cardiomegaly,Edema,Consolidation,Atelectasis,Pleural Effusion
fastai-densenet-320-u0-stage-2,0.8494,0.8753,0.8133,0.9159,0.912,0.7975,0.9271
fastai-densenet-320-u1-stage-1,0.8571,0.883,0.8178,0.9349,0.8785,0.8369,0.937
fastai-resnet-320-u0-stage-1,0.8491,0.8819,0.8165,0.9238,0.8783,0.8387,0.942
fastai-resnet-320-u1-stage-2,0.8589,0.8863,0.8273,0.933,0.8797,0.8461,0.9359
fastai-resnext-320-u1-stage-1,0.8527,0.8792,0.8141,0.9253,0.8821,0.8276,0.9365
fastai-vgg-320-u0-stage-2,0.8507,0.874,0.8189,0.9064,0.9138,0.7857,0.9352
fastai-vgg-320-u1-stage-1,0.848,0.8765,0.8214,0.922,0.8756,0.8209,0.9321
fastai-densenet-CT-phase2-u1-stage-2,0.8564,0.8825,0.8143,0.9298,0.8835,0.8384,0.9364
weighted(micro) ensemble,0.8631,0.8892,0.8218,0.9325,0.9022,0.8406,0.9396
weighted(macro) ensemble,0.8603,0.8906,0.8274,0.9292,0.9026,0.8412,0.9412
ensemble,0.8601,0.89,0.8273,0.9295,0.9017,0.8399,0.941
